group_id,erp,n_companies_in_sample
GROUP_0001,,3
GROUP_0002,,1
GROUP_0003,,4
GROUP_0004,Netsuite,2
GROUP_0005,,1
GROUP_0006,,3
GROUP_0007,,5
GROUP_0008,,6
GROUP_0009,,9
GROUP_0010,,1
GROUP_0011,,10
GROUP_0012,,1
GROUP_0013,Sage X3,12
GROUP_0014,Holded,1
GROUP_0015,Sage 50,4
GROUP_0016,SAP Business One,15
GROUP_0017,,11
GROUP_0018,,12
GROUP_0019,Microsoft Business Central,3
GROUP_0020,,6
GROUP_0021,A3 ERP,3
GROUP_0022,Netsuite,13
GROUP_0023,,17
GROUP_0024,,1
GROUP_0025,,2
GROUP_0026,,2
GROUP_0027,,1
GROUP_0028,,1
GROUP_0029,,1
GROUP_0030,LIBRA,1
GROUP_0031,Sage 200,1
GROUP_0032,,4
